,Sector,Year,FDI(₹ Crores),FDI(US$ Million)
83,AGRICULTURAL MACHINERY,2001-02,4.96,1.04
84,EARTH-MOVING MACHINERY,2001-02,0.52,0.11
85,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2001-02,292.82,61.4
86,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2001-02,23.23,4.87
87,MEDICAL AND SURGICAL APPLIANCES,2001-02,201.97,42.35
88,INDUSTRIAL INSTRUMENTS,2001-02,24.18,5.07
89,SCIENTIFIC INSTRUMENTS,2001-02,11.11,2.33
90,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2001-02,0.0,0.0
91,FERTILIZERS,2001-02,0.0,0.0
92,CHEMICALS (OTHER THAN FERTILIZERS),2001-02,416.0,87.23
93,PHOTOGRAPHIC RAW FILM AND PAPER,2001-02,0.0,0.0
94,DYE-STUFFS,2001-02,0.86,0.18
95,DRUGS & PHARMACEUTICALS,2001-02,371.7,77.94
96,"TEXTILES (INCLUDING DYED,PRINTED)",2001-02,25.18,5.28
97,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2001-02,79.64,16.7
98,SUGAR,2001-02,0.0,0.0
99,FERMENTATION INDUSTRIES,2001-02,52.65,11.04
100,FOOD PROCESSING INDUSTRIES,2001-02,1046.27,219.39
101,VEGETABLE OILS AND VANASPATI,2001-02,0.0,0.0
102,"SOAPS, COSMETICS & TOILET PREPARATIONS",2001-02,0.0,0.0
103,RUBBER GOODS,2001-02,221.23,46.39
104,"LEATHER,LEATHER GOODS AND PICKERS",2001-02,0.95,0.2
105,GLUE AND GELATIN,2001-02,4.48,0.94
106,GLASS,2001-02,39.92,8.37
107,CERAMICS,2001-02,3.72,0.78
108,CEMENT AND GYPSUM PRODUCTS,2001-02,667.18,139.9
109,TIMBER PRODUCTS,2001-02,0.24,0.05
110,DEFENCE INDUSTRIES,2001-02,0.0,0.0
111,CONSULTANCY SERVICES,2001-02,315.8,66.22
112,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2001-02,896.33,187.95
113,HOSPITAL & DIAGNOSTIC CENTRES,2001-02,33.05,6.93
114,EDUCATION,2001-02,0.0,0.0
115,HOTEL & TOURISM,2001-02,153.18,32.12
116,TRADING,2001-02,206.35,43.27
117,RETAIL TRADING,2001-02,0.0,0.0
118,AGRICULTURE SERVICES,2001-02,67.05,14.06
119,"DIAMOND,GOLD ORNAMENTS",2001-02,1.72,0.36
120,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2001-02,0.67,0.14
121,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2001-02,0.0,0.0
122,COIR,2001-02,0.0,0.0
123,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2001-02,0.0,0.0
124,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2001-02,246.8,51.75
125,MISCELLANEOUS INDUSTRIES,2001-02,1055.71,221.37
126,METALLURGICAL INDUSTRIES,2002-03,177.19,36.61
127,MINING,2002-03,48.69,10.06
128,POWER,2002-03,286.09,59.11
129,NON-CONVENTIONAL ENERGY,2002-03,8.23,1.7
130,COAL PRODUCTION,2002-03,0.0,0.0
131,PETROLEUM & NATURAL GAS,2002-03,274.82,56.78
132,BOILERS AND STEAM GENERATING PLANTS,2002-03,0.0,0.0
